movie,review,genre,year
Inception,"This movie completely blew my mind. The plot twists kept me guessing until the very end, and the visuals were stunning.",Sci-Fi,2010
Inception,"Way too confusing for its own good. I had to watch it twice just to understand what was happening.",Sci-Fi,2010
The Notebook,"I cried through the entire second half. Such a beautiful, heartbreaking love story.",Romance,2004
The Notebook,"Predictable and overly sentimental. Not really my kind of film.",Romance,2004
The Dark Knight,"Heath Ledger's performance as the Joker is one of the greatest in cinema history. Absolutely gripping.",Action,2008
The Dark Knight,"Great action but the runtime felt a bit too long for me.",Action,2008
Toy Story,"A timeless classic that still holds up. My kids loved it as much as I did growing up.",Animation,1995
Toy Story,"Nostalgic but the animation feels dated compared to newer releases.",Animation,1995
Parasite,"A masterclass in storytelling. The social commentary hits hard without ever feeling preachy.",Thriller,2019
Parasite,"Interesting concept but the pacing dragged in the middle for me.",Thriller,2019
La La Land,"The music, the colors, the chemistry between the leads — everything about this film is magical.",Musical,2016
La La Land,"Beautiful visuals but the story felt thin and the ending left me disappointed.",Musical,2016
Get Out,"Terrifying in the best way. Smart horror that actually says something about society.",Horror,2017
Get Out,"Good idea but the execution felt uneven, especially the third act.",Horror,2017
Avengers: Endgame,"The perfect send-off to a decade of storytelling. I was on the edge of my seat the whole time.",Action,2019
Avengers: Endgame,"Too many characters crammed into one movie. It felt bloated and overstuffed.",Action,2019
The Shawshank Redemption,"One of the most hopeful and moving films ever made. A true masterpiece.",Drama,1994
The Shawshank Redemption,"Slow-paced, but the payoff in the final act makes it worth it.",Drama,1994
Frozen,"Catchy songs and a surprisingly good message about sisterhood over romance.",Animation,2013
Frozen,"Overhyped. The songs got annoying after a while and the plot was thin.",Animation,2013
Joker,"Joaquin Phoenix delivers an unsettling, unforgettable performance. Dark and thought-provoking.",Drama,2019
Joker,"Disturbing and bleak without much payoff. Not an enjoyable watch for me.",Drama,2019
Interstellar,"An emotional and scientifically fascinating journey. The soundtrack alone gave me chills.",Sci-Fi,2014
Interstellar,"The science felt shaky and the ending was overly convoluted.",Sci-Fi,2014
Barbie,"Hilarious, clever, and surprisingly deep. Way better than I expected going in.",Comedy,2023
Barbie,"Tried to do too much at once — comedy, satire, and message all fighting for space.",Comedy,2023
Oppenheimer,"A tense, brilliantly acted biopic that never lets up. Nolan at his best.",Drama,2023
Oppenheimer,"Dense and talky. Impressive craft but exhausting to sit through.",Drama,2023
Spider-Man: Into the Spider-Verse,"Visually groundbreaking animation with a heartfelt story. Genuinely one of the best superhero films.",Animation,2018
Spider-Man: Into the Spider-Verse,"The art style is great but the story felt a bit familiar and predictable.",Animation,2018
